Document/Patent number,Title,Inventor name,Publication date
US-12033134-B2,System for initiating misplaced card actions via an augmented reality enabled private data-less card device,Nguyen; Tai Tan et al.,2024-07-09
US-12032593-B2,Real-time data replication monitoring and management,Patil; Sachin Vilas et al.,2024-07-09
US-12034807-B1,System and method to manage data exchanges in a decentralized network,Suriyanarayanan; Gowri Sundar et al.,2024-07-09
US-20240223476-A1,Quantum Dot Energized Heterogenous Multi- Sensor with Edge Fulgurated Decision Accomplisher,MeenakshiSundaram; Meenakshi et al.,2024-07-04
US-20240223536-A1,"SYSTEM AND METHOD FOR TRACKING DATA TRANSFERRED IN A DISTRIBUTED NETWORK VIA SECURED, LAYERED DATA TAGGING",Dhawan; Lalit et al.,2024-07-04
US-20240223539-A1,SYSTEM AND METHOD FOR PROTECTING NON-PUBLIC INFORMATION FROM MALICIOUS USERS,Bakshi; Sakshi et al.,2024-07-04
US-20240223549-A1,LOCAL HASH SALT TO PREVENT CREDENTIAL STUFFING ATTACKS,Yarabolu; Vijay Kumar et al.,2024-07-04
US-20240223550-A1,Geolocated Portable Authenticator for Transparent and Enhanced Information-Security Authentication of Users,Traywick; Edward Lee et al.,2024-07-04
US-20240223595-A1,SYSTEM AND METHOD FOR DETECTING AND COUNTERING MALICIOUS CODE,Bakshi; Sakshi et al.,2024-07-04
US-20240220949-A1,"SYSTEMS, METHODS, AND APPARATUSES FOR IMPLEMENTING AN INTERCONNECTED DISTRIBUTED NETWORK OF RESOURCE DISTRIBUTION DEVICES",Castinado; Joseph Benjamin et al.,2024-07-04
US-20240220989-A1,System for Dynamic Anomaly Detection,Goodwin; James D.,2024-07-04
US-20240221349-A1,SYSTEMS FOR TARGETED IMAGE DETECTION THROUGHOUT COMPUTING NETWORKS,Lohar; Sanjay Arjun et al.,2024-07-04
US-20240221323-A1,SYSTEMS FOR ESTABLISHING AND CONTROLLING ACCESS AND PRIVILEGES IN A VIRTUAL REALITY COMPUTING ENVIRONMENT BASED ON AUTHENTICATED IDENTITIES,Mukherjee; Maharaj et al.,2024-07-04
US-20240220229-A1,NATURAL LANGUAGE PROCESSING ENGINE FOR COMPONENT LEVEL DATA MAPPING AND CODE REVISION IMPACT ANALYSIS,Matos; Marcus Raphael et al.,2024-07-04
US-20240220525-A1,SYSTEM FOR CONTEXT-BASED DATA AGGREGATION AND PRESENTMENT,Baird; Joseph Michael et al.,2024-07-04
US-20240220393-A1,NATURAL LANGUAGE PROCESSING ENGINE FOR AUTOMATED DETECTION OF SOURCE CODE DISCREPANCIES,Matos; Marcus Raphael et al.,2024-07-04
US-20240220767-A1,CANDIDATE DATA POINTS SELECTION SYSTEM FOR LABELING UNLABELED DATA POINTS,Podrazka; Melissa et al.,2024-07-04
US-12026778-B2,Systems and methods for display notifications for routing of electronic transaction processing results,Narayana; Usha et al.,2024-07-02
US-12026770-B2,Financial health smartwatch,Nicholson; Daralyn M. et al.,2024-07-02
US-12026172-B2,System and method for automatically validating data stored in multiple locations,Ramesh; Manojkumar et al.,2024-07-02
US-12028363-B2,Detecting bad actors within information systems,Serna; Daniel Joseph et al.,2024-07-02
US-12028373-B2,Information security system and method for preventing communications from detected phishing domains,Young; Michael Robert et al.,2024-07-02
US-12028345-B2,Information security system and method for identifying trusted machines for machine-to-machine (M2M) security and validation,Mukherjee; Maharaj et al.,2024-07-02
US-12026554-B2,Query-response system for identifying application priority,"Bishop, III; Jack Lawson et al.",2024-07-02
US-12028465-B2,Electronic system for convergent distribution of electronic digital certificates,Kurian; Manu Jacob,2024-07-02
US-12028464-B2,Electronic system for generating and tracking linked electronic digital certificates,Kurian; Manu Jacob,2024-07-02
US-12028355-B2,Enhancing hybrid traditional neural networks with liquid neural network units for cyber security and offense protection,Nyamwange; Elvis,2024-07-02
US-12028375-B2,Detecting and protecting against employee targeted phishing attacks,Camarata; Eric Ryan et al.,2024-07-02
US-12028219-B2,Real-time intelligent system mapping,Hembram; Pragyan Paramita,2024-07-02
US-12028203-B2,Self-resolution of exception errors in a distributed network,Ratnakaram; Udaya Kumar Raju et al.,2024-07-02
US-12026501-B2,Automated process and system update scheduling in a computer network,Paini; Siva Kumar et al.,2024-07-02
US-12026684-B2,Digital and physical asset transfers based on authentication,Patel; Vinesh Premji et al.,2024-07-02
US-12026697-B2,System and method for segment security using a certificate right on a distributed network,Polasa; Puneetha et al.,2024-07-02
US-12026279-B2,System and method for document validation based on extracted information from the document,Khare; Prashant et al.,2024-07-02
US-12028348-B2,System and method for performing interactions across geographical regions within a metaverse,Varma; Jayachandra et al.,2024-07-02
US-12026048-B2,Early detection and avoidance of mainframe job errors,Najumudeen; Syed et al.,2024-07-02
US-12028271-B2,Prioritizing messages for server processing based on monitoring and predicting server resource utilization,Rajagopalan; Lakshmi Narasimhan et al.,2024-07-02
US-12026173-B1,System and method for extraction management,Akkapeddi; Naga Vamsi Krishna et al.,2024-07-02
US-12026570-B1,3-D printing cards leveraging an extended reality (XR) environment and micro electromechanical systems (MEMS) technology,Singh; Shailendra et al.,2024-07-02
US-12028207-B1,System and method for dynamically aggregating multiple firewall security configurations in a decentralized network,Singh; Shailendra,2024-07-02
US-12028319-B1,Image-based firewall for synthetic media prevention,Raman; Sundarrajan,2024-07-02
US-12028212-B1,Enterprise server image (ESI) meta tagging,Vaughan; Kerry et al.,2024-07-02
US-12028228-B1,System and method to dynamically analyze metadata,Bakshi; Sakshi et al.,2024-07-02
US-20240212383-A1,Enhanced Item Validation and Image Evaluation System,Fowles; Jasher David et al.,2024-06-27
US-20240215028-A1,SECURE EDGE DEVICE FOR CONTACTLESS VEHICLE PROCESSING,Castinado; Joseph Benjamin et al.,2024-06-27
US-20240214418-A1,Information security system and method for denial-of-service detection,Zhang; Xiao Jun et al.,2024-06-27
US-20240211631-A1,"ELECTRONIC SYSTEM FOR PREDICTING, DETECTING, AND PREVENTING UNAUTHORIZED ACCESS EVENTS ASSOCIATED WITH ELECTRONIC SYSTEMS",Ravindran; Sree Krishna Vaishanavy Krishnaswamy et al.,2024-06-27
US-20240214403-A1,SYSTEM AND METHODS FOR PROACTIVE PROTECTION AGAINST MALFEASANT DATA COLLECTION,"Castrejon, III; Tomas M. et al.",2024-06-27
US-20240211613-A1,"SYSTEMS AND METHODS FOR EVALUATING, VALIDATING, AND IMPLEMENTING CHANGE REQUESTS TO A SYSTEM ENVIRONMENT BASED ON ARTIFICIAL INTELLIGENCE INPUT",Prasad; Khandavally Siva Ranga,2024-06-27
US-12020163-B2,Knowledge persistent and structurally dynamic neural network,Botkin; Garrett Thomas et al.,2024-06-25
US-12021857-B2,Voice biometric authentication in a virtual assistant,Mavani; Saurabh,2024-06-25
US-12021861-B2,Identity verification through multisystem cooperation,Allen; Morgan S.,2024-06-25
US-12020246-B2,Intelligent distributed ledger consent optimizing apparatus for asset transfer,Dey; Subrojyoti et al.,2024-06-25
US-12021895-B2,"Malware detection with multi-level, ensemble artificial intelligence using bidirectional long short-term memory recurrent neural networks and natural language processing",Balaji; Sujatha et al.,2024-06-25
US-12019749-B2,Intelligent detection of cyber supply chain anomalies,Yerra; Pallavi et al.,2024-06-25
US-12020232-B2,Bio-mesh network leveraging natural selection optimization for intelligent auto-healing,Muthukrishnan; Ramaswamy et al.,2024-06-25
US-12022016-B2,System and method for managing exception request blocks in a blockchain network,Khare; Prashant et al.,2024-06-25
US-12021878-B2,Unauthorized activity detection based on spatially aware devices,Danielpour; Sophie Morgan et al.,2024-06-25
US-12021860-B2,"Systems and methods for multi-stage, identity-based, digital authentication",Gillis; Trish et al.,2024-06-25
US-12020248-B2,Payment redemption using non-fungible tokens,Castagna; Brandon et al.,2024-06-25
US-12020387-B2,Intelligent data migration via mixed reality,Maharaja; Raja Arumugam,2024-06-25
US-12020224-B2,ATM leveraging edge devices for offline processing,Kurian; Manu et al.,2024-06-25
US-12019794-B1,Interactive extended reality platform supporting targeted displays,Albero; George et al.,2024-06-25
US-12020692-B1,Secure interactions in a virtual environment using electronic voice,Ryali; Venkata Karthik et al.,2024-06-25
US-12021731-B1,System and method for evaluating compliance of transmitted object data via data efficiency mapping,Ahuja; Yogi et al.,2024-06-25
US-20240202317-A1,Malware Deterrence Using Computer Environment Indicators,Schwartz; Nera Pershing et al.,2024-06-20
US-20240202689-A1,BANKING AT A MULTI-LEVEL ATM,Thimmareddy; Arjun et al.,2024-06-20
US-20240202566-A1,Image processing using photonic quantum computing,Bidkar; Prashant Anna et al.,2024-06-20
US-20240202562-A1,Parallel data processing using photonic quantum computing,Bidkar; Prashant Anna et al.,2024-06-20
US-20240203402-A1,Voice processing using photonic quantum computing,Bidkar; Prashant Anna et al.,2024-06-20
US-12015924-B2,Multi-MCC code bundle for use in increasing travel security,Carrier; Nancy T. et al.,2024-06-18
US-12014368-B2,System for analyzing and resolving disputed data records,Khare; Prashant et al.,2024-06-18
US-12014346-B2,Smartglasses-based autonomous transaction platform,Gupta; Saurabh,2024-06-18
US-12013963-B2,Insight generation using personal identifiable information (PII) footprint modeling,Zimmer; Allison et al.,2024-06-18
US-12015502-B2,Artificial intelligence integration of third-party software into large-scale digital platforms,Elliott; Montier et al.,2024-06-18
US-12013841-B2,Apparatus and methods for annotation management,Shankar; Mani et al.,2024-06-18
US-12013748-B2,Intelligent quality accelerator with root mapping overlay,Krishnamoorthy; Madhusudhanan et al.,2024-06-18
US-12014210-B2,Dynamic resource allocation in a distributed system,"Bishop, III; Jack Lawson et al.",2024-06-18
US-12015602-B2,Information security system and method for secure data transmission among user profiles using a blockchain network,Chandran; Sidhartha,2024-06-18
US-12014030-B2,System for predictive virtual scenario presentation,Mukherjee; Maharaj et al.,2024-06-18
US-12015643-B2,System and method for multifactor authentication for access to a resource based on co-connected device presence,duPont; Justin et al.,2024-06-18
US-12015717-B2,System for processing offline digital resource transfers using a hardware device based cryptographic application,Castinado; Joseph Benjamin et al.,2024-06-18
US-12014363-B2,Apparatus and methods for non-fungible tokens as universal digital identification,Haddad; Linda et al.,2024-06-18
US-12013958-B2,System and method for validating a response based on context information,Trivedi; Abhishek et al.,2024-06-18
US-12013825-B2,Predictive value engine for logical map generation and injection,Kurian; Manu et al.,2024-06-18
US-12013927-B2,System and method for generating and monitoring dynamic identifiers for data processing security,Nelluri; Govinda Rajulu et al.,2024-06-18
US-12015604-B2,System for secured electronic data access through machine-learning based analysis of combined access authorizations,Sloane; Brandon et al.,2024-06-18
US-12015585-B2,"System and method for detection, translation, and categorization of visual content associated with malicious electronic communication",Young; Michael Robert,2024-06-18
US-12013970-B2,System and method for detecting and obfuscating confidential information in task logs,Dande; Pratap et al.,2024-06-18
US-12014608-B2,Object recognition subject to a throttling effect,Serna; Daniel J.,2024-06-18
US-12014224-B2,System and method for processing of event data real time in an electronic communication via an artificial intelligence engine,Dintenfass; Katherine Kei-Zen et al.,2024-06-18
US-12014348-B2,Validating transactions between entities using LoRaWAN protocol,Bidkar; Prashant Anna et al.,2024-06-18
US-12014352-B1,Card-to-card direct communication with non-fungible token (NFT) stacking and barter,Gupta; Saurabh,2024-06-18
US-12014096-B1,System and method for remote authentication based on computer-vision technologies,Murphy; Timothy Scott et al.,2024-06-18
US-12013845-B1,Real time optimization apparatus using smart contracts for dynamic code validation and approval,Kavali; Rama Venkata et al.,2024-06-18
US-20240193266-A1,Known-Deployed File Metadata Repository and Analysis Engine,Summers; Dan E. et al.,2024-06-13
US-20240193272-A1,Known Deployed File Metadata Repository and Analysis Engine,Summers; Dan E. et al.,2024-06-13
US-20240193082-A1,REAL-TIME DYNAMIC CACHING PLATFORM FOR METAVERSE ENVIRONMENTS USING NON-FUNGIBLE TOKENS,Singh; Shailendra et al.,2024-06-13
US-20240195802-A1,SYSTEM FOR USER-INITIATED AUTHENTICATION OF AN ELECTRONIC COMMUNICATION CHANNEL USING A SECURE COMPUTING APPLICATION TOKEN,Bhandari; Amit et al.,2024-06-13
US-20240192992-A1,SYSTEMS AND METHODS PROVIDING AUTOMATED ISSUE DIAGNOSIS FOR FLEET OF PHYSICAL RESOURCE DISPENSING MACHINES VIA MULTI-CHANNEL DATA SAMPLING,Goodwin; James Dennis et al.,2024-06-13
US-20240193161-A1,REVERSE ENGINEERED RETOKENIZATION FOR TRANSLATION OF MACHINE INTERPRETABLE LANGUAGES,Benda; Carl et al.,2024-06-13
US-20240193439-A1,AUTOMONOUS DIGITAL TWIN GENERATION USING EDGE-NODES,Mukherjee; Maharaj,2024-06-13
US-20240192930-A1,Application Dependency Visualization,Dahl; Erik et al.,2024-06-13
US-20240192931-A1,Application Dependency Visualization,Dahl; Erik et al.,2024-06-13
US-20240193327-A1,DIGITAL TWINNING DATA SIMULATOR,Albero; George et al.,2024-06-13
US-20240193680-A1,Multi-Computer System for Fail-Safe Event Processing,Dande; Pratap et al.,2024-06-13
US-12008114-B2,Custom patching automation with machine learning integration,Ahmed; Syed Luqman et al.,2024-06-11
US-12008403-B2,"System for electronic identification of attributes for performing maintenance, monitoring, and distribution of designated resources",Banerjee; Sayan et al.,2024-06-11
US-12010152-B2,Information security systems and methods for cyber threat event prediction and mitigation,Nunn; Daniel John et al.,2024-06-11
US-12010171-B2,Domain-based Raft consensus selection of leader nodes in distributed data services,Sharma; Yash et al.,2024-06-11
US-12007832-B2,Restoring a system by load switching to an alternative cloud instance and self healing,Anand; Vasuki et al.,2024-06-11
US-12008105-B2,Protected QR code scanner using operational system override,Herren; Taylor et al.,2024-06-11
US-12007963-B1,System and method for processing resources and associated metadata in the metaverse using knowledge graphs,Rajagopalan; Anurajam et al.,2024-06-11
US-12010003-B1,Systems and methods for deploying automated diagnostic engines for identification of network controls status,"Castrejon, III; Tomas M. et al.",2024-06-11
US-20240187250-A1,SYSTEM FOR TRACKING RESOURCES USING NON-FUNGIBLE TOKENS,Young; Michael Robert et al.,2024-06-06
US-20240187382-A1,SYSTEM FOR IMPLEMENTING DYMANIC NETWORK CHANNEL SWITCHING FOR SECURE COMMUNICATION,Castinado; Joseph Benjamin et al.,2024-06-06
US-20240187383-A1,SYSTEM FOR IMPLEMENTING DYMANIC NETWORK CHANNEL SWITCHING FOR SECURE COMMUNICATION,Castinado; Joseph Benjamin et al.,2024-06-06
US-20240187454-A1,SYSTEM FOR SECURE CHANNEL SELECTION FOR MULTI-FACTOR AUTHENTICATION USING NON-FUNGIBLE ELECTRONIC RESOURCES,Sharma; Anirudh Kumar,2024-06-06
US-20240184115-A1,APPARATUS AND METHODS TO EXTRACT DATA WITH SMART GLASSES,Verma; Sandeep et al.,2024-06-06
US-20240187472-A1,ACCESSING AND INTERACTING WITH REQUESTED WEB CONTENT USING A MODIFIED WEB FARM FRAMEWORK,Shringi; Dheeraj et al.,2024-06-06
US-20240187311-A1,Machine Learning-Based Multitenant Server Application Dependency Mapping System,Nodzak; Conor Mitchell Liam et al.,2024-06-06
US-20240187355-A1,Prioritizing Messages for Server Processing Based on Monitoring and Predicting Server Resource Utilization,Rajagopalan; Lakshmi Narasimhan et al.,2024-06-06
US-20240187522-A1,CHATBOT DEFLECTION,Yannam; Ramakrishna R. et al.,2024-06-06
US-20240187399-A1,Customized Token Rules Generation System,Lojko; Jeff et al.,2024-06-06
US-20240187389-A1,SYSTEM FOR CLOUD COMPUTING SECURITY USING A QUANTUM ENCRYPTION ALGORITHM,Mamadapur; Krishna Rangarao et al.,2024-06-06
US-20240187432-A1,"SYSTEMS, METHODS, AND APPARATUSES FOR DETERMINING RESOURCE MISAPPROPRIATION BASED ON DISTRIBUTION FREQUENCY IN AN ELECTRONIC NETWORK",Thomsen; Kevin Patrick,2024-06-06
US-20240184683-A1,"SYSTEMS, METHODS, AND APPARATUSES FOR IDENTIFYING, LOGGING AND REPORTING APPLICATION EVENTS IN AN ELECTRONIC NETWORK",Namuduru; Tejaswi Ramana et al.,2024-06-06
US-20240184859-A1,AUTO-SEGMENTATION OF NON-FUNGIBLE TOKENS USING MACHINE LEARNING,Akkapeddi; Naga Vamsi Krishna,2024-06-06
US-20240184876-A1,MULTI-DIMENSIONAL VOICE-BASED DIGITAL AUTHENTICATION,Sawkar; Rohit et al.,2024-06-06
US-20240185192-A1,RECURSIVE DISTRIBUTED LEDGER FOR CRYPTOCURRENCY,Greene; Steven et al.,2024-06-06
US-20240185190-A1,Digital Format Custodial Services,Ranjan; Prabhat et al.,2024-06-06
US-20240184920-A1,SYSTEM AND METHOD FOR ANALYZING MICRO-ANOMALIES IN ANONYMIZED ELECTRONIC DATA,Renckert; Jennifer Tiffany et al.,2024-06-06
US-20240185248-A1,MULTIDIMENSIONAL TRANSACTION PATTERN TRACKING AND PREDICTION,Gatchalian; Gilbert et al.,2024-06-06
US-20240185249-A1,EVALUATING TRANSACTIONS IN A DECENTRALIZED FINANCE NETWORK BASED ON DECOMPOSED NON-FUNGIBLE TOKENS (NFTs),Akkapeddi; Naga Vamsi Krishna et al.,2024-06-06
US-20240185295-A1,AUTOMATED DEBUNDLING AND CATEGORIZATION OF PURCHASES,Dryer; Eric et al.,2024-06-06
US-20240185533-A1,SYSTEM AND METHOD FOR GENERATING A DIGITAL RENDITION OF A LOCATION TO RECREATE A USER INTERACTION IN A DIGITAL ECOSYSTEM,Castinado; Joseph Benjamin et al.,2024-06-06
US-20240184992-A1,MACHINE LEARNING (ML)-BASED DUAL LAYER CONVERSATIONAL ASSIST SYSTEM,Yannam; Ramakrishna R. et al.,2024-06-06
